Signature,Alternative signatures,Transliterated runic text,Translation to English,Found location,Parish,Municipality,District,Current location,Images,latitude,longitude
"U 1034","B 501;L 234","þorbia(r)n ' auk ' þorstain ' uk ' styrbiarn ' litu raisa stain ' eftiR ' þorfast ' faþur sin ybir risti","Þorbjôrn and Þorsteinn and Styrbjôrn had the stone raised in memory of Þorfastr, their father. Œpir carved.","Tensta kyrka","Tensta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1034&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16001000254908;http://kulturarvsdata.se/raa/kmb/html/16001000254904;http://kulturarvsdata.se/raa/kmb/html/16001000254906;http://kulturarvsdata.se/raa/kmb/html/16001000255364;http://kulturarvsdata.se/raa/kmb/html/16001000254384;http://kulturarvsdata.se/raa/kmb/html/16001000255366","60.040685","17.671969"
"U 1035","B 499;L 236","...kiat auk ... ...u rita stin þina| |aftiR kuih faþur sin si(k)[r]iþr at buanta si...","... and ... had this stone erected in memory of Kvígr, their father; Sigríðr in memory of her husbandman.","Tensta kyrka","Tensta sn","Uppsala","Norunda hd","På kyrkvallen 35 m ÖSÖ om bogårdsmuren.","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1035&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16001000257766;http://kulturarvsdata.se/raa/kmb/html/16001000257764","60.040276","17.672341"
"U 1036","B 497;L 235","sihuastr ' uk ' bratr ' uk ' uikitil · elha ' lit ' rita stin eftiR ' anhuit ' sun ' sin ' sum ' ☺ tauþr ' ☺ huita'huaþum ' (k)ristr ' ialbi ' sial ' antuita","Sigfastr and Brandr and Véketill. Helga had the stone erected in memory of Andvéttr, her son, who died in christening robes. May Christ help Andvéttr's soul.","Tensta kyrka","Tensta sn","Uppsala","Norunda hd","Omedelbart utanför bogårdsmuren.","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1036&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16001000255704;http://kulturarvsdata.se/raa/kmb/html/16001000257744","60.040447","17.672297"
"U 1037","L 237","[... lit hakua ... ...fast · faþur · sin · noa... ...ustur · s...a ka...]","... had ... cut ...-fastr, his father, ... his sister ...","Tensta kyrka","Tensta sn","Uppsala","Norunda hd","","","60.040758","17.67183"
"U 1038","B 496;L 243","[hiþibiarn · lit · raisa · stain × at alah broþur sin l--kiri...rn hia]","Heðinbjôrn had the stone raised in memory of Áli/Alli, his brother ...","Altomta","Tensta sn","Uppsala","Norunda hd","","","60.019263","17.879133"
"U 1039","B 500;L 242","§AP sthotbiarn ' auk istain ' (r)itu siin ' yftiR ' fnþur sin kula ' mesku ' g|i|r|i| |g|i|r|istr [li](t)in · sahlu hos §AQ sthotbiarn ' auk istain ' (r)itu siin ' yftiR ' fnþur sin kula ' mesku ' giristr [li](t)in · sahlu hos §B kiulin ' ristiR ' runo ' þas ' kitiluha ' hit ' kuino ' has ' auk ' uielf/uielf^r","§AP Stóðbjôrn(?) and Eysteinn erected the stone in memory of their father Gulli(?). May Christ have mercy(?), relieve his soul. §AQ Stóðbjôrn(?) and Eysteinn erected the stone in memory of their father Gulli Myskja. May Christ relieve his soul. §B Kjúli(?) carved these runes. His wife was called Ketillaug/Ketillauga. And Véelfr.","Bräcksta","Tensta sn","Uppsala","Norunda hd","","","60.037835","17.653036"
"U 1040","B 503;L 244","futan ' lit risa ' stin yftiR ' sk| |kouikon ' osn--... ' ki-ilmutr ' kiuli rsti","Fundinn had the stone raised in memory of himself while alive ... Ketilmundr. Kjúli(?) carved.","Fasma","Tensta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1040&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300032489;http://kulturarvsdata.se/raa/kmb/html/16000300031502;http://kulturarvsdata.se/raa/kmb/html/16000300031500;http://kulturarvsdata.se/raa/kmb/html/16000300031501;http://kulturarvsdata.se/raa/kmb/html/16000300031497;http://kulturarvsdata.se/raa/kmb/html/16000300031494;http://kulturarvsdata.se/raa/kmb/html/16000300031496;http://kulturarvsdata.se/raa/kmb/html/16000300031495","60.055465","17.618846"
"U 1041","B 502;L 238","iahbaþr ' ok ' inkikieþr ' litu ' rita sena iftR faþur sin ' runfastr ' ok ' iftR ' runu ' moþur sena ' ikulfr ' risti runi ahbaþr kiaþi bro ·","Hagbarðr and Ingigerðr had the stones erected in memory of their father Rúnfastr and in memory of Rúna, their mother. Ingulfr carved the runes. Hagbarðr made the bridge.","Golvasta","Tensta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1041&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300031514;http://kulturarvsdata.se/raa/kmb/html/16000300031513;http://kulturarvsdata.se/raa/kmb/html/16000300031505;http://kulturarvsdata.se/raa/kmb/html/16000300031509;http://kulturarvsdata.se/raa/kmb/html/16000300031511;http://kulturarvsdata.se/raa/kmb/html/16000300031508;http://kulturarvsdata.se/raa/kmb/html/16000300031510;http://kulturarvsdata.se/raa/kmb/html/16000300031512","60.063474","17.662192"
"U 1042","B 504;L 241","rikatr ' lit r[e]sa ' st[en yftR · biur · faþu sn ouk mþur ☺ sifriþ · usnikin] ' kuli risti ' run","Ríkhvatr had the stone raised in memory of Bjôrn/Bjórr, his father, and his mother Sigríðr. Ósníkinn. Kjúli(?) carved the runes.","Källbo, Lugnet","Tensta sn","Uppsala","Norunda hd","","","60.040658","17.617765"
"U 1043","B 516;L 239","u[lfr ·] auk ' kuþfastr ' auk| |kuþ[muntr ' þ-... ...it]u rita stin þino ' aftiR ufih ' fa[þ]ur s(i)n ' kuþ hinlbi ont (h)-ns","Ulfr and Guðfastr and Guðmundr, they had this stone erected in memory of Ófeigr, their father. May God help his spirit.","Onslunda","Tensta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1043&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300031490;http://kulturarvsdata.se/raa/kmb/html/16000300031493;http://kulturarvsdata.se/raa/kmb/html/16000300031485;http://kulturarvsdata.se/raa/kmb/html/16000300031487;http://kulturarvsdata.se/raa/kmb/html/16000300031488;http://kulturarvsdata.se/raa/kmb/html/16000300031486;http://kulturarvsdata.se/raa/kmb/html/16000300031489;http://kulturarvsdata.se/raa/kmb/html/16000300031492;http://kulturarvsdata.se/raa/kmb/html/16000300031491","60.015934","17.632015"
"U 1044","B 517;L 240","[kitil · lit raisa st...] ... ...þur sin k[ulha| |at bonta sin]","Ketill had the stone raised ... his father; Gulla in memory of her husbandman.","Onslunda","Tensta sn","Uppsala","Norunda hd","Står nu vid U 1034, Tensta kyrka.","","60.018328","17.63873"
"U 1045","","' biarnaffþi ' lit ' hakua ' stain ' at ' biarnafþa ' faþur ' sin -ak-- ' s...- ' at '","Bjarnhôfði had the stone cut in memory of Bjarnhôfði, his father ... ...","Björklinge kyrka","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1045&showthumbnails=true;http://kulturarvsdata.se/S-HM/photo/html/HMM35335;http://kulturarvsdata.se/S-HM/photo/html/HMM35336;http://kulturarvsdata.se/raa/kmb/html/16001000201484;http://kulturarvsdata.se/raa/kmb/html/16001000201384;http://kulturarvsdata.se/raa/kmb/html/16001000201504","60.026978","17.552253"
"U 1046","B 527;L 248","...ikaiR lit resa sten auk ' kera ' buro ' eftiR ' siiterf · buroþur · sin","...-geirr had the stone raised and the bridge made in memory of Sædjarfr/Sigdjarfr, his brother.","Björklinge kyrka","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1046&showthumbnails=true;http://kulturarvsdata.se/S-HM/photo/html/HMM35328;http://kulturarvsdata.se/S-HM/photo/html/HMM35329;http://kulturarvsdata.se/raa/kmb/html/16001000201344;http://kulturarvsdata.se/raa/kmb/html/16001000201364","60.026967","17.552396"
"U 1047","","ayka-R ' auk ' kitilbiarn ' auk ' keisl ' auk ' ihul ' litu ' rita sten ' eftiR hybiarn faþ ' sin '","Eygeirr and Ketilbjôrn and Gísl(?) and Ígull had the stone erected in memory of Eybjôrn, their father.","Björklinge kyrka","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1047&showthumbnails=true;http://kulturarvsdata.se/S-HM/photo/html/HMM35331;http://kulturarvsdata.se/S-HM/photo/html/HMM35330;http://kulturarvsdata.se/raa/kmb/html/16001000201284;http://kulturarvsdata.se/raa/kmb/html/16001000201268;http://kulturarvsdata.se/raa/kmb/html/16001000201304;http://kulturarvsdata.se/raa/kmb/html/16001000201264;http://kulturarvsdata.se/raa/kmb/html/16001000201244","60.026938","17.552574"
"U 1048","","kilauk ' lit ' hakua ' at ' i(o)rut · sun sin ' (t)o ' i haiþaby","Gillaug had (the stone) cut in memory of Jôrundr, her son. (He) died in Hedeby.","Björklinge kyrka","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1048&showthumbnails=true;http://kulturarvsdata.se/S-HM/photo/html/HMM35326;http://kulturarvsdata.se/S-HM/photo/html/HMM35327;http://kulturarvsdata.se/raa/kmb/html/16001000201224;http://kulturarvsdata.se/raa/kmb/html/16001000201204","60.026917","17.55277"
"U 1049","","[...i · lit · rita · ...]","... had erected ...","Björklinge kyrka","Björklinge sn","Uppsala","Norunda hd","","","60.026955","17.552593"
"U 1050","B 532;L 247","hulmkair ' ... ...itu h--ua a[t] ' a(i)s[t] faþur sin","Holmgeirr ... had ... cut in memory of Eistr, their father.","Björklinge kyrka","Björklinge sn","Uppsala","Norunda hd","På kyrkvallen V om kyrkan.","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1050&showthumbnails=true;http://kulturarvsdata.se/S-HM/photo/html/HMM35333;http://kulturarvsdata.se/S-HM/photo/html/HMM35334;http://kulturarvsdata.se/S-HM/photo/html/HMM35332;http://kulturarvsdata.se/S-HM/photo/html/HMM35325;http://kulturarvsdata.se/S-HM/photo/html/HMM35324;http://kulturarvsdata.se/raa/kmb/html/16001000201404;http://kulturarvsdata.se/raa/kmb/html/16001000201424","60.026961","17.551481"
"U 1051","","fastulfr ' lit ' rita stan etR ' suar sin ' ok ' iofast ' eftR ' uihmt ' faþu sen","Fastulfr had the stone erected in memory of his father-in-law and Jófast in memory of Vígmundr, her father.","Prästgården","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1051&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16001000201444;http://kulturarvsdata.se/raa/kmb/html/16001000201464","60.026007","17.549619"
"U 1052","B 526;L 253","kefialtr ' ok + borfas[tr ' ok ' anituitr ×] (o)k + þelfi + þaR ' [litu] + rita + stin + etiR + ion + freta + sin ikulfr ' iok ' stin ' þelfi + iok sten","Gjafaldr and Borgfastr and Andvéttr and Þjalfi, they had the stone erected in memory of Jón, their kinsman. Ingulfr cut the stone. Þjalfi cut the stone.","Axlunda","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1052&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300026442;http://kulturarvsdata.se/raa/kmb/html/16000300026443;http://kulturarvsdata.se/raa/kmb/html/16000300026440","60.041034","17.483844"
"U 1053","B 528;L 251","[katl · ok iku]lef þaon ltu kea mrki iftR kul sun si[n (o)k · ketilmun]","Ketill and Ingileif, they had the landmark made in memory of Kolr(?), their son, and Ketilmundr.","Hammarby","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1053&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300026444;http://kulturarvsdata.se/raa/kmb/html/16000300026445;http://kulturarvsdata.se/raa/kmb/html/16000300026446;http://kulturarvsdata.se/raa/kmb/html/16000300026448;http://kulturarvsdata.se/raa/kmb/html/16000300026447","60.039264","17.479663"
"U 1054","","...oias... ... ...þfastr hi... [...skatnik faþur -...]","... ... Guðfastr cut(?) ... father ...","Lund","Björklinge sn","Uppsala","Norunda hd","","","59.999838","17.558996"
"U 1055","B 524;L 255","°","°","Ramsjö","Björklinge sn","Uppsala","Norunda hd","","","60.038959","17.540269"
"U 1056","B 525;L 254","uiseti ' auk ' iufur ' litu ' raisa ' stain eftiR ofahi ' faþur · sai","Véseti and Jôfurr had the stone raised in memory of Ófeigr, their father.","Ramsjö","Björklinge sn","Uppsala","Norunda hd","","","60.044892","17.541083"
"U 1057","","si(b)... ... ...-sa ' stino yftiR ' sen","... ... the stones raised in memory of his/Seinn.","Sandbro","Björklinge sn","Uppsala","Norunda hd","","","60.004097","17.578942"
"U 1058","B 529;L 250","[kahu ok uhi · ristu runa... ...]","Kagr(?)/Gagr(?) and Hugi carved the runes ...","Sandbro","Björklinge sn","Uppsala","Norunda hd","","http://www.fmis.raa.se/fmis/bilder/03/0380/207/foto/12000000507012_F.jpg","60.013968","17.57791"
"U 1059","B 531;L 249","... ...it ' r-... ... [siþ]mi...","... had ... erected ...","Såpebo, Möboda","Björklinge sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1059&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300026429;http://kulturarvsdata.se/raa/kmb/html/16000300026427;http://kulturarvsdata.se/raa/kmb/html/16000300026426;http://kulturarvsdata.se/raa/kmb/html/16000300026430;http://kulturarvsdata.se/raa/kmb/html/16000300026425;http://kulturarvsdata.se/raa/kmb/html/16000300026424","60.064166","17.53078"
"U 1060","","hulmkair ... [karl · lit]u ' h(a)[(k)](u)a ' ☺ aist faþur ' sin","Holmgeirr and Karl had (the stone) cut in memory of Eistr, their father.","Tibble","Björklinge sn","Uppsala","Norunda hd","","","60.02311","17.55691"
"U 1061","","...","...","Viksta kyrka","Viksta sn","Uppsala","Norunda hd","","","60.077158","17.639532"
"U 1062","B 530;L 252","kakulfr ' ok benuiþr ' litu ' rita ' sten ' iftR ooþbiarn ' sun in","Gangulfr(?) and Beinviðr had the stone erected in memory of Auðbjôrn, their son.","Dalboda, Heden","Viksta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1062&showthumbnails=true;http://kulturarvsdata.se/upmu/photo/html/DIA03343;http://kulturarvsdata.se/raa/kmb/html/16000300026422;http://kulturarvsdata.se/raa/kmb/html/16000300026420;http://kulturarvsdata.se/raa/kmb/html/16000300026419;http://kulturarvsdata.se/raa/kmb/html/16000300026417;http://kulturarvsdata.se/raa/kmb/html/16000300026418;http://kulturarvsdata.se/raa/kmb/html/16000300026421;http://kulturarvsdata.se/raa/kmb/html/16000300026423","60.112461","17.526992"
"U 1063","B 506;L 246","st[yn]friþ ' (a)u(k) ' hulmfriþ : litu : raisa : stain : eftiR : (þ)... ...(a)þur ' sin · --... ...[runir] ybiR risti runa","Stynfríðr/Steinfríðr and Holmfríðr had the stone raised in memory of ... their father ... Jôrundr(?) Œpir carved the runes.","Källslätt","Viksta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1063&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300026413;http://kulturarvsdata.se/raa/kmb/html/16000300026411;http://kulturarvsdata.se/raa/kmb/html/16000300026412;http://kulturarvsdata.se/raa/kmb/html/16000300026415;http://kulturarvsdata.se/raa/kmb/html/16000300026416;http://kulturarvsdata.se/raa/kmb/html/16000300026933","60.155348","17.491954"
"U 1064","","[bia... ... raisa + sten ... ...bi + ant + ... risti runaR · þisr]","Bjôrn(?) ... the stone raised ... may help (his) spirit ... carved these runes.","Nyvalla","Viksta sn","Uppsala","Norunda hd","","","60.070893","17.667693"
"U 1065","B 505;L 245","runuiþr ' lit risa ' sin yftR ' suain ' faþur sin ...in k(l)s-i iufur ' ok ' fuks ' litu risa stin yftiR faþur sin kara","Rúnviðr had the stone raised in memory of Sveinn, his father ... Jôfurr and Foks had the stone raised in memory of their father Kári.","Rångsta","Viksta sn","Uppsala","Norunda hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1065&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300026432;http://kulturarvsdata.se/raa/kmb/html/16000300026439;http://kulturarvsdata.se/raa/kmb/html/16000300026438;http://kulturarvsdata.se/raa/kmb/html/16000300026434;http://kulturarvsdata.se/raa/kmb/html/16000300026431;http://kulturarvsdata.se/raa/kmb/html/16000300026436;http://kulturarvsdata.se/raa/kmb/html/16000300026435;http://kulturarvsdata.se/raa/kmb/html/16000300026437;http://kulturarvsdata.se/raa/kmb/html/16000300026433;http://kulturarvsdata.se/raa/kmb/html/16000300031504;http://kulturarvsdata.se/raa/kmb/html/16000300031498","60.073127","17.622582"
"U 1066","B 493;L 163",": biurn : auk :: þurkil : þiR : ris(t)u + kumbl : þisi : al : iRu :: kiþbi- : a :","Bjôrn and Þorkell, they raised all these monuments ...","Åkerby kyrka","Åkerby sn","Uppsala","Bälinge hd","","http://kulturarvsdata.se/raa/kmb/html/16000200142357;http://kulturarvsdata.se/upmu/photo/html/DIG009672","59.923557","17.496187"
"U 1067","B 494;L 162","¤ (u)talfriþR : raisti · staina + þisa a-tR · styr · faþur : sin · (k)...þ hilbi · ant þira bratr hiuk run-R","Óðalfríðr/Óðalfreðr raised these stones in memory of Styrr, her/his father. May God help their spirits. Brandr cut the runes.","Åkerby kyrka","Åkerby sn","Uppsala","Bälinge hd","","http://kulturarvsdata.se/raa/kmb/html/16000200142358","59.923577","17.496063"
"U 1068","","... ' hagua ' stain ' at ' i-kuar ' faþ... ... ...anta ' (s)in","... the stone cut in memory of Ingvarr, father ... her/his husbandman.","Åkerby kyrka","Åkerby sn","Uppsala","Bälinge hd","I östra kyrkogårdsmuren.","","59.923407","17.496752"
"U 1069","B 495;L 165","iolfast + lit + rita + sten + yftiR + son sin + asa + auk + ersten + yftir rul(u)r","Ígulfastr/Hjalmfastr had the stone erected in memory of his son Ási; and Ernsteinn in memory of ...","Berga","Åkerby sn","Uppsala","Bälinge hd","","","59.926302","17.487974"
"U 1070","B 491;L 166","tatr ' auk ' kamal ' litu ' rita ' sti[n ' ifti]R ' þorþ ' faþur sin","<tatr> and Gamall had the stone erected in memory of Þórðr, their father.","Kroksta","Åkerby sn","Uppsala","Bälinge hd","","","59.935422","17.467558"
"U 1071","B 492;L 164","m","...","Sylta, Söderby","Åkerby sn","Uppsala","Bälinge hd","","","59.931016","17.50052"
"U 1072","","þorka- ' -(u)- ' -(u)--- ' (b)(r)(a)n(t)(r) ' ---... n-...- ' ... ' ybir ' risti","Þorkell and ... Brandr ... ... ... Œpir carved.","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","I vapenhuset.","","59.946113","17.52919"
"U 1073","B 473;L 131","[iufur · uk stoþbiarn · litu ... ... ...kifast · faþur · sin ×]","Jôfurr and Stóðbjôrn had ... in memory of Ingifastr, their father.","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","","","59.946045","17.529616"
"U 1074","B 472;B 476;L 132","[asfriþ --- hakua × stan × at × tierf · sun · sin · nasi · at · broþur · sin likbiarn hiak + merki]","Ásfríðr had the stone cut in memory of Djarfr, her son; Nasi/Nesi in memory of his brother. Líkbjôrn cut the landmark.","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","","","59.946045","17.529616"
"U 1075","B 474;L 130","[ulifr × ok · þ--s-an + litu · r... ... ...R · kunar faþur · sin · ikulfr ·]","Óleifr and Þorsteinn had the stone erected in memory of Gunnarr, their father. Ingulfr.","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","","","59.946045","17.529616"
"U 1076","B 454;L 133","[antuitr lit × hakua × stnin + þina + at + kuti · broþur · sin × ...o--]","Andvéttr had this stone cut in memory of Goti, his brother ...","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","","","59.946045","17.529616"
"U 1077","B 452;L 134","... ...-tiR : ref : nha bi-kumr : þoRna...","... in memory of Refr/Reifr. He ...","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","","http://kulturarvsdata.se/upmu/photo/html/DIG001555","59.945952","17.528466"
"U 1078","","[...s(k)ar...]","...","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","","","59.946045","17.529616"
"U 1078B","U 1121B","... ...(i)sa ' stain ' ift... ...","... the stone raised in memory of ...","Bälinge kyrka","Bälinge sn","Uppsala","Bälinge hd","Inmurat utvändigt i korgavelns övre norra del.","","59.946113","17.52919"
"U 1079","B 461;L 158","[fas](t)i · lit · h(r)[ita · stan eftiR ·] (f)astuiu · kun[u si]nh","Fasti had the stone erected in memory of Fastvé, his wife.","Forkarby","Bälinge sn","Uppsala","Bälinge hd","En del i Sundbro, fyra i Forkarby.","","59.927937","17.558224"
"U 1080","B 457;L 157","[sihatr · auk · karl litu · raisa st... efti]R · halftan · faþur si[n ·]","Sighvatr and Karl had the stone raised in memory of Halfdan, their father.","Forkarby","Bälinge sn","Uppsala","Bälinge hd","Vid Sundbro.","http://kulturarvsdata.se/upmu/photo/html/SM0713_09","59.927847","17.558255"
"U 1081","","[b]or[f]... ... ...[f]astr · litu hakua · at ketil[f]ast broþur · sin ·","Borgfastr(?) and ...-fastr had (the stone) cut in memory of Ketilfastr, their brother.","Forkarby, Korsbacken","Bälinge sn","Uppsala","Bälinge hd","","","59.933514","17.552025"
"U 1082","","[...urli...]","...","Forkarby","Bälinge sn","Uppsala","Bälinge hd","","","59.933674","17.552122"
"U 1083","B 467;L 139","[arta · lit · hakua · stain · at · faþur · sin nefkair · ok · hiþinfast · at · bonta · sin ik · ystain · at broþra sin]","Arta(?) had the stone cut in memory of his father Nefgeirr; and Heðinfast in memory of her husbandman; and Eysteinn in memory of his brother.","Gysta","Bälinge sn","Uppsala","Bälinge hd","","","59.964378","17.545322"
"U 1084","B 459;L 154","abiarn ' uk ' inkialtr ' uk ' eminkr ' litu ' rita ' stain ' iftiR ['] biarn ' faþr ' sin '","Ábjôrn and Ingjaldr and Hemingr had the stone erected in memory of Bjôrn, their father.","Hämringe","Bälinge sn","Uppsala","Bälinge hd","","","59.946285","17.56449"
"U 1085","B 466;L 155","kulefr ' u(k) ' s[i]oli ' litu ' risa ' iftiR ' ikifast ' sun [' i]arunta","Gulleifr and Sjóli had (the stone) raised in memory of Ingifastr, Jôrundr's/Jôrundi's son.","Högsta","Bälinge sn","Uppsala","Bälinge hd","","http://kulturarvsdata.se/upmu/photo/html/SM0513_22","59.972042","17.566518"
"U 1086","B 470;L 156","[iufur × lit raisa · stain at · uikbiarn faþur]","Jôfurr had the stone raised in memory of Vígbjôrn, (his) father.","Högsta","Bälinge sn","Uppsala","Bälinge hd","","","59.967197","17.569645"
"U 1087","B 477;L 141","[fastui · lit · risa stain · iftiR · karþar · auk · utirik suni · sino · onar uarþ tauþr i girkium ·]","Fastvé had the stone raised in memory of Gerðarr and Ótryggr, her sons. The other (= the latter) died in Greece.","Lövsta","Bälinge sn","Uppsala","Bälinge hd","","","59.96264","17.574775"
"U 1088","B 480;L 142","[amrigar olnfuir : aok kaitluastr · aok · gatilRutr · aog · sneribiar + -þon · litu · risa stan ...uu sin]","... ... and Ketilfastr and Ketilmundr and Snerribjôrn, they had the stone raised ... their ...","Lövsta","Bälinge sn","Uppsala","Bälinge hd","","","59.963997","17.573952"
"U 1089","B 478;L 136","uihi ' lit raisa stain eftiR inkialt ' faþur ' sin iufurfas[t ']","Vígi had the stone raised in memory of Ingjaldr, his father. Jôfurfast.","Marsta","Bälinge sn","Uppsala","Bälinge hd","","","59.930996","17.586559"
"U 1090","","[...r · uk · inkimunt fit- : bryþr · sin · auk · inkifriþ ...]","... and Ingimundr ... their brothers; and Ingifríðr ...","Marsta","Bälinge sn","Uppsala","Bälinge hd","","","59.930587","17.588273"
"U 1091","B 475;L 153","[...iua-- lntu · hakua ...(t) + kloþa + faþur × sen × -...]","... had cut in memory of Glóði, their father ...","Målsta","Bälinge sn","Uppsala","Bälinge hd","","","59.935548","17.518766"
"U 1092","B 455;L 140","osnikin ' uk ' ranti ' litu ÷ risa ÷ stin þina ' at ' stora","Ósníkinn and Randvé had this stone raised in memory of Stóri.","Nyvla","Bälinge sn","Uppsala","Bälinge hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1092&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300031550;http://kulturarvsdata.se/raa/kmb/html/16000300031557;http://kulturarvsdata.se/raa/kmb/html/16000300031551;http://kulturarvsdata.se/raa/kmb/html/16000300031552;http://kulturarvsdata.se/raa/kmb/html/16000300031548;http://kulturarvsdata.se/raa/kmb/html/16000300031556;http://kulturarvsdata.se/raa/kmb/html/16000300031559;http://kulturarvsdata.se/raa/kmb/html/16000300031553;http://kulturarvsdata.se/raa/kmb/html/16000300031549;http://kulturarvsdata.se/raa/kmb/html/16000300031554;http://kulturarvsdata.se/raa/kmb/html/16000300031558;http://kulturarvsdata.se/raa/kmb/html/16000300031555;http://kulturarvsdata.se/upmu/photo/html/DIG025579;http://kulturarvsdata.se/upmu/photo/html/DIG025663;http://kulturarvsdata.se/upmu/photo/html/DIG025741;http://kulturarvsdata.se/upmu/photo/html/DIG025740","59.956602","17.522054"
"U 1093","B 460;L 135","fuluhi : uk : askun : þaun : hion : litu : hak...a : stain : eftiR : sik : kuik : baþi kuþ hialbi ant","Fullugi and Ásgunnr, this married couple had the stone cut in memory of themselves while both alive. May God help (their) spirits.","Nyvla, Tingstukällan","Bälinge sn","Uppsala","Bälinge hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1093&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300031568;http://kulturarvsdata.se/raa/kmb/html/16000300031562;http://kulturarvsdata.se/raa/kmb/html/16000300031565;http://kulturarvsdata.se/raa/kmb/html/16000300031564;http://kulturarvsdata.se/raa/kmb/html/16000300031563;http://kulturarvsdata.se/raa/kmb/html/16000300031560;http://kulturarvsdata.se/raa/kmb/html/16000300031569;http://kulturarvsdata.se/raa/kmb/html/16000300031571;http://kulturarvsdata.se/raa/kmb/html/16000300031567;http://kulturarvsdata.se/raa/kmb/html/16000300031561;http://kulturarvsdata.se/raa/kmb/html/16000300031566;http://kulturarvsdata.se/upmu/photo/html/DIG025580","59.959234","17.529584"
"U 1094","B 468;L 138","[brusi · ok þorbiarn · litu · raisa · stain · eftir · faþur · sin · b...urn × kuþ hialbi a(n)t hans]","Brúsi and Þorbjôrn had the stone raised in memory of their father Bjôrn. May God help his spirit.","Rosta bro","Bälinge sn","Uppsala","Bälinge hd","","","59.949071","17.608863"
"U 1095","B 449;B 479;L 159","bel + lit + hakua + at × ystain × faþur + sin × kilauk × at × bonta (s)in × likbiarn × hiak ×","<bel> had (the stone) cut in memory of Eysteinn, his father; Gillaug in memory of her husbandman. Líkbjôrn cut.","Rörby","Bälinge sn","Uppsala","Bälinge hd","","http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u1095&showthumbnails=true;http://kulturarvsdata.se/raa/kmb/html/16000300031615;http://kulturarvsdata.se/raa/kmb/html/16000300031630;http://kulturarvsdata.se/raa/kmb/html/16000300031617;http://kulturarvsdata.se/raa/kmb/html/16000300031623;http://kulturarvsdata.se/raa/kmb/html/16000300031627;http://kulturarvsdata.se/raa/kmb/html/16000300031629;http://kulturarvsdata.se/raa/kmb/html/16000300031620;http://kulturarvsdata.se/raa/kmb/html/16000300031628","59.940098","17.548345"
